check	passed	notes
tracking_python_exists	True	n/a
robot_usd_exists	True	n/a
motion_npz_exists	True	n/a
project_egl_icd_exists	True	n/a
gpu_foundation_deps_exists	True	n/a
target_gpu_resource_ready	True	n/a
does_not_start_training	True	n/a
worker_attempted	True	n/a
worker_returncode_zero	True	n/a
sentinel_after_app	True	n/a
sentinel_env_created	True	n/a
sentinel_env_reset	True	n/a
sample_json_written	True	n/a
sample_npz_written	True	n/a
sample_status_ok	True	n/a
sample_policy_obs_dim_160	True	n/a
sample_policy_terms_expected_order	True	n/a
sample_does_not_claim_mujoco_parity	True	n/a
mujoco_native_parity_ready	False	n/a
