contract,status,passed,expected_from_paper_or_gate,observed_in_current_project,required_fix_before_long_training,evidence
Paper state-latent source contract is readable,pass,True,"Paper S3 requires hybrid character-yaw-centric state, OU perturbation collection, 5s rejection, and symmetry augmentation.",patterns_found=True,Restore/read paper source before claiming formula-level data alignment.,reproduction/paper/source/root.tex; reproduction/paper/source/tex/method.tex
Reusable hybrid state schema gate is available,pass,True,Previous gate must define 99-D hybrid state and 163-D projected state.,"status=blocked_hybrid_state_schema_ready_but_trainable_dataset_missing, hybrid_state_dim=99, projected_state_dim=163",Run/fix hybrid schema audit before building a trainable state-latent dataset.,res/audits/hybrid_state_schema_contract/beyondmimic_hybrid_state_schema_contract_audit.json
Reusable raw rollout to paper hybrid-state builder is implemented and tested,pass,True,Training dataset builders must call a single tested helper that converts contiguous raw root/body simulator state into the paper 99-D yaw-centric hybrid state.,"builder_available=True, builder_tested=True",Implement/test raw rollout -> 99-D hybrid-state construction before rebuilding teacher rollout state-latent datasets.,reproduction/src/beyondmimic_reimpl/state.py; reproduction/tests/test_core_math.py
Current paper-contract state-latent dataset is not 160-D policy observation,blocked,False,Expected 99-D hybrid state or 163-D projected state; token dim should be 131 or 195 with 32-D latent.,"state_source='policy_obs in local paper-contract best-teacher rollout shards', obs_dim=160, token_dim=192","Rebuild state-latent shards from raw simulator/root/body state, not from Stage-1 policy_obs.",res/level_c/official_importer_export_paper_contract_teacher_rollout_state_latent_dataset/level_c_official_importer_export_paper_contract_teacher_rollout_state_latent_dataset.json
Teacher rollout collector source records fields needed for future paper hybrid-state shards,pass,True,Collector code should save root pose/twist and target-body world positions/velocities so future shards can build 99-D hybrid states.,collector_records_required_world_state=True,Patch the teacher rollout collector before recollecting rollout shards.,reproduction/scripts/tracking_g1_resource_adjusted_teacher_rollout_dataset.py
Teacher rollout shards contain raw world-state fields required to construct paper hybrid state,blocked,False,Rollout shards must contain root pose/twist and target-body world positions/velocities.,"inspected_shards=2, missing_required_fields=['body_lin_vel_w', 'body_pos_w', 'root_ang_vel_w', 'root_lin_vel_w', 'root_pos_w', 'root_quat_w_or_rot'], keys=[['policy_obs', 'critic_obs', 'actions', 'rewards', 'dones', 'timeouts', 'motion_time_steps', 'final_policy_obs', 'final_critic_obs', 'rank', 'world_size', 'seed'], ['policy_obs', 'critic_obs', 'actions', 'rewards', 'dones', 'timeouts', 'motion_time_steps', 'final_policy_obs', 'final_critic_obs', 'rank', 'world_size', 'seed']]",Modify teacher rollout collection to save root/body world states and velocities before building state-latent data.,res/tracking/g1_official_importer_export_paper_contract_best_teacher_rollout_dataset/tracking_g1_official_importer_export_paper_contract_best_teacher_rollout_dataset.json; /mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_paper_contract_best_teacher_rollout_dataset/resource_adjusted_teacher_rollout_20260622_222256_seed20260804/rank_0/teacher_rollout_shard.npz; /mnt/infini-data/test/BeyondMimic/res/runs/tracking_g1_official_importer_export_paper_contract_best_teacher_rollout_dataset/resource_adjusted_teacher_rollout_20260622_222256_seed20260804/rank_1/teacher_rollout_shard.npz
State-latent builder does not read policy_obs as the state token,blocked,False,Builder should construct hybrid/projected paper state from rollout state fields.,"builder_reads_policy_obs=True, wrapper_overrides_state_source_to_policy_obs=True",Replace policy_obs encoding path with explicit hybrid-state construction and record schema version.,reproduction/scripts/level_c_resource_adjusted_teacher_rollout_state_latent_dataset.py; reproduction/scripts/level_c_official_importer_export_paper_contract_teacher_rollout_state_latent_dataset.py
Window index excludes done/reset discontinuities and implements paper 5s rejection,blocked,False,Samples should be accepted only when the robot remains stable for the 5s verification horizon; windows must not cross done/reset discontinuities.,"done_count_in_source_shards=47200, window_count=285696, builder_has_done_rejection_filter=False",Implement accepted-episode filtering and reject/omit all windows crossing dones/resets before diffusion training.,res/level_c/official_importer_export_paper_contract_teacher_rollout_state_latent_dataset/level_c_official_importer_export_paper_contract_teacher_rollout_state_latent_dataset.json; reproduction/scripts/level_c_resource_adjusted_teacher_rollout_state_latent_dataset.py; reproduction/paper/source/root.tex:546
OU-noise collection and symmetry augmentation are recorded in the trainable dataset protocol,blocked,False,Paper uses OU action perturbations for DAgger-like rollout data and sagittal symmetry augmentation for VAE/diffusion.,"ou_collection_recorded=False, symmetry_recorded=False",Add explicit OU perturbation metadata and symmetry augmentation outputs for train/val/test splits.,reproduction/paper/source/root.tex:539; reproduction/paper/source/root.tex:591; reproduction/scripts/level_c_resource_adjusted_teacher_rollout_state_latent_dataset.py
"Diffusion training scripts consume paper hybrid/projected state, not policy_obs",blocked,False,Denoiser input should be state-latent tokens built from hybrid/projected state and VAE latent.,diffusion_reads_policy_obs=True,Gate full diffusion training until scripts read corrected state-latent arrays instead of source_shard['policy_obs'].,reproduction/scripts/level_c_resource_adjusted_state_latent_diffusion_training.py; reproduction/scripts/level_c_paper_contract_transformer_state_latent_diffusion_training.py
