relative_asset_json,status,claim_level,visual_count,video_count,png_count,table_count,all_assets_exist,does_not_claim_paper_level,does_not_claim_real_robot,goal_complete_false
res/report_assets/official_csv_loop_full_bundle_downstream/official_csv_loop_full_bundle_downstream_report_assets.json,ok,local_virtual_full_bundle_downstream_report_asset,2,0,2,3,True,True,True,True
res/report_assets/official_csv_loop_full_bundle_guidance/official_csv_loop_full_bundle_guidance_report_assets.json,ok,local_virtual_full_bundle_offline_guidance_report_asset,2,0,2,3,True,True,True,True
res/report_assets/official_csv_loop_full_bundle_ppo_checkpoint_eval/official_csv_loop_full_bundle_ppo_checkpoint_eval_assets.json,ok,local_virtual_resource_adjusted_report_asset,3,0,3,3,True,True,True,True
res/report_assets/official_csv_loop_full_bundle_task_conditioned_guidance_multiseed/official_csv_loop_full_bundle_task_conditioned_guidance_multiseed_assets.json,ok_official_csv_loop_full_bundle_task_conditioned_guidance_multiseed_assets,local_virtual_full_bundle_task_conditioned_latent_guidance_multiseed_report_assets,2,0,2,2,True,True,True,True
res/report_assets/official_csv_loop_full_bundle_task_conditioned_guidance_summary/official_csv_loop_task_conditioned_guidance_summary_assets.json,ok,local_virtual_full_bundle_task_conditioned_receding_horizon_latent_guidance_rollout_summary,2,0,2,3,True,True,True,True
res/report_assets/official_csv_loop_full_bundle_teacher_rollout_dataset/official_csv_loop_full_bundle_teacher_rollout_report_assets.json,ok,local_virtual_full_bundle_teacher_rollout_report_asset,3,0,3,3,True,True,True,True
res/report_assets/official_csv_loop_full_dataset_task_eval/official_csv_loop_full_dataset_task_eval_assets.json,ok,resource_adjusted_official_loop_full_dataset_task_eval_report_assets,2,0,2,3,True,True,True,True
res/report_assets/official_csv_loop_guidance_vae_action_decode/official_csv_loop_guidance_vae_action_decode_assets.json,ok,qualitative_only_offline_action_decode_asset,2,0,2,2,True,True,True,True
res/report_assets/official_csv_loop_ppo_checkpoint_eval/official_csv_loop_ppo_checkpoint_eval_assets.json,ok,local_virtual_resource_adjusted_report_asset,3,0,3,3,True,True,True,True
res/report_assets/official_csv_loop_ppo_checkpoint_multiseed_eval/official_csv_loop_ppo_checkpoint_multiseed_eval_assets.json,ok,local_virtual_multiseed_tracking_eval_report_asset,3,0,3,3,True,True,True,True
res/report_assets/official_csv_loop_task_conditioned_guidance_multiseed/official_csv_loop_task_conditioned_guidance_multiseed_assets.json,ok_official_csv_loop_task_conditioned_guidance_multiseed_assets,local_virtual_task_conditioned_latent_guidance_multiseed_report_assets,2,0,2,2,True,True,True,True
res/report_assets/official_csv_loop_task_conditioned_guidance_summary/official_csv_loop_task_conditioned_guidance_summary_assets.json,ok,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout_summary,2,0,2,3,True,True,True,True
res/report_assets/official_csv_loop_teacher_rollout_dataset/official_csv_loop_teacher_rollout_report_assets.json,ok,local_virtual_official_loop_teacher_rollout_report_asset,3,0,3,3,True,True,True,True
res/report_assets/official_csv_loop_vae_closed_loop_rollout_eval/official_csv_loop_vae_closed_loop_rollout_assets.json,ok,local_virtual_vae_action_reconstruction_closed_loop_report_asset,5,0,5,3,True,True,True,True
res/report_assets/official_importer_export_full_bundle_downstream/official_importer_export_full_bundle_downstream_report_assets.json,ok_official_importer_export_full_bundle_downstream_assets,local_virtual_official_importer_export_full_bundle_downstream_report_asset,2,0,2,3,True,True,True,True
res/report_assets/official_importer_export_full_bundle_ppo_checkpoint_eval/official_importer_export_full_bundle_ppo_checkpoint_eval_assets.json,ok,local_virtual_official_importer_export_report_asset,4,0,4,4,True,True,True,True
res/report_assets/official_importer_export_full_bundle_scaled_ppo_checkpoint_eval/official_importer_export_full_bundle_scaled_ppo_checkpoint_eval_assets.json,ok,local_virtual_official_importer_export_scaled_ppo_report_asset,4,0,4,4,True,True,True,True
res/report_assets/official_importer_export_full_bundle_teacher_rollout_dataset/official_importer_export_full_bundle_teacher_rollout_report_assets.json,ok,local_virtual_official_importer_export_full_bundle_teacher_rollout_report_asset,3,0,3,3,True,True,True,True
res/report_assets/official_importer_export_full_bundle_vae_closed_loop_rollout_eval/official_importer_export_full_bundle_vae_closed_loop_rollout_assets.json,ok_official_importer_export_full_bundle_vae_closed_loop_rollout_assets,local_virtual_official_importer_export_vae_action_reconstruction_closed_loop_report_asset,5,0,5,3,True,True,True,True
res/report_assets/official_importer_export_full_bundle_vae_training/official_importer_export_full_bundle_vae_training_assets.json,ok,local_virtual_official_importer_export_full_bundle_vae_training_asset,1,0,1,3,True,True,True,True
res/report_assets/official_importer_export_full_dataset_task_eval/official_importer_export_full_dataset_task_eval_assets.json,ok,official_importer_export_full_dataset_task_eval_report_assets,2,0,2,3,True,True,True,True
res/visualization/official_csv_loop_action_guidance_rollout/official_csv_loop_action_guidance_rollout_asset.json,ok,local_virtual_teacher_consistency_action_guidance_rollout,3,1,2,2,True,True,True,True
res/visualization/official_csv_loop_full_bundle_policy_rollout/official_csv_loop_policy_rollout_video_asset.json,ok,local_virtual_full_bundle_resource_adjusted_policy_rollout_video,2,1,1,2,True,True,True,True
res/visualization/official_csv_loop_full_bundle_receding_latent_guidance_rollout/official_csv_loop_receding_latent_guidance_rollout_asset.json,ok,local_virtual_full_bundle_receding_horizon_latent_guidance_rollout,3,1,2,2,True,True,True,True
res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_receding_latent_guidance_rollout_asset.json,ok,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout,3,1,2,2,True,True,True,True
res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_receding_latent_guidance_rollout_asset.json,ok,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout,3,1,2,2,True,True,True,True
res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_receding_latent_guidance_rollout_asset.json,ok,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout,3,1,2,2,True,True,True,True
res/visualization/official_csv_loop_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_receding_latent_guidance_rollout_asset.json,ok,local_virtual_full_bundle_task_conditioned_latent_guidance_rollout,3,1,2,2,True,True,True,True
res/visualization/official_csv_loop_policy_rollout/official_csv_loop_policy_rollout_video_asset.json,ok,local_virtual_resource_adjusted_policy_rollout_video,2,1,1,2,True,True,True,True
res/visualization/official_csv_loop_receding_latent_guidance_rollout/official_csv_loop_receding_latent_guidance_rollout_asset.json,ok,local_virtual_receding_horizon_latent_guidance_rollout,3,1,2,2,True,True,True,True
res/visualization/official_csv_loop_reference_replay/official_csv_loop_reference_replay_video_asset.json,ok,local_kinematic_reference_visualization,2,1,1,2,True,True,True,True
res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_receding_latent_guidance_rollout_asset.json,ok,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout,3,1,2,2,True,True,True,True
res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_receding_latent_guidance_rollout_asset.json,ok,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout,3,1,2,2,True,True,True,True
res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_receding_latent_guidance_rollout_asset.json,ok,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout,3,1,2,2,True,True,True,True
res/visualization/official_csv_loop_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_receding_latent_guidance_rollout_asset.json,ok,local_virtual_task_conditioned_receding_horizon_latent_guidance_rollout,3,1,2,2,True,True,True,True
res/visualization/official_csv_loop_vae_closed_loop_rollout/official_csv_loop_vae_closed_loop_rollout_video_asset.json,ok,local_virtual_vae_action_reconstruction_rollout_video,2,1,1,2,True,True,True,True
res/visualization/official_importer_export_full_bundle_scaled_ppo_policy_rollout/official_importer_export_full_bundle_scaled_ppo_policy_rollout_video_asset.json,ok_official_importer_export_full_bundle_scaled_ppo_policy_rollout_video_asset,local_virtual_official_importer_export_scaled_ppo_policy_rollout_video,2,1,1,2,True,True,True,True
res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/composed/official_csv_loop_receding_latent_guidance_rollout_asset.json,ok,local_virtual_official_importer_export_task_conditioned_latent_guidance_rollout,3,1,2,2,True,True,True,True
res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/joystick/official_csv_loop_receding_latent_guidance_rollout_asset.json,ok,local_virtual_official_importer_export_task_conditioned_latent_guidance_rollout,3,1,2,2,True,True,True,True
res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/obstacle_avoidance/official_csv_loop_receding_latent_guidance_rollout_asset.json,ok,local_virtual_official_importer_export_task_conditioned_latent_guidance_rollout,3,1,2,2,True,True,True,True
res/visualization/official_importer_export_full_bundle_task_conditioned_latent_guidance_rollout/waypoint/official_csv_loop_receding_latent_guidance_rollout_asset.json,ok,local_virtual_official_importer_export_task_conditioned_latent_guidance_rollout,3,1,2,2,True,True,True,True
res/visualization/official_importer_export_full_bundle_vae_closed_loop_rollout/official_importer_export_full_bundle_vae_closed_loop_rollout_video_asset.json,ok_official_importer_export_full_bundle_vae_closed_loop_rollout_video_asset,local_virtual_official_importer_export_vae_action_reconstruction_rollout_video,2,1,1,2,True,True,True,True
