term	function	std	weight	distance_or_angle_norm	squared_error	reward	weighted_reward
motion_global_anchor_pos	motion_global_anchor_position_error_exp	0.3	0.5	0.0	0.0	1.0	0.5
motion_global_anchor_pos	motion_global_anchor_position_error_exp	0.3	0.5	0.25	0.0625	0.49935178859927626	0.24967589429963813
motion_global_anchor_pos	motion_global_anchor_position_error_exp	0.3	0.5	0.5	0.25	0.062176524022116327	0.031088262011058163
motion_global_anchor_pos	motion_global_anchor_position_error_exp	0.3	0.5	1.0	1.0	1.4945338524781453e-05	7.472669262390726e-06
motion_global_anchor_pos	motion_global_anchor_position_error_exp	0.3	0.5	2.0	4.0	4.9891093927950183e-20	2.4945546963975092e-20
motion_global_anchor_ori	motion_global_anchor_orientation_error_exp	0.4	0.5	0.0	0.0	1.0	0.5
motion_global_anchor_ori	motion_global_anchor_orientation_error_exp	0.4	0.5	0.25	0.0625	0.676633846161729	0.3383169230808645
motion_global_anchor_ori	motion_global_anchor_orientation_error_exp	0.4	0.5	0.5	0.25	0.20961138715109787	0.10480569357554893
motion_global_anchor_ori	motion_global_anchor_orientation_error_exp	0.4	0.5	1.0	1.0	0.001930454136227711	0.0009652270681138555
motion_global_anchor_ori	motion_global_anchor_orientation_error_exp	0.4	0.5	2.0	4.0	1.3887943864964071e-11	6.9439719324820355e-12
motion_body_pos	motion_relative_body_position_error_exp	0.3	1.0	0.0	0.0	1.0	1.0
motion_body_pos	motion_relative_body_position_error_exp	0.3	1.0	0.25	0.0625	0.49935178859927626	0.49935178859927626
motion_body_pos	motion_relative_body_position_error_exp	0.3	1.0	0.5	0.25	0.062176524022116327	0.062176524022116327
motion_body_pos	motion_relative_body_position_error_exp	0.3	1.0	1.0	1.0	1.4945338524781453e-05	1.4945338524781453e-05
motion_body_pos	motion_relative_body_position_error_exp	0.3	1.0	2.0	4.0	4.9891093927950183e-20	4.9891093927950183e-20
motion_body_ori	motion_relative_body_orientation_error_exp	0.4	1.0	0.0	0.0	1.0	1.0
motion_body_ori	motion_relative_body_orientation_error_exp	0.4	1.0	0.25	0.0625	0.676633846161729	0.676633846161729
motion_body_ori	motion_relative_body_orientation_error_exp	0.4	1.0	0.5	0.25	0.20961138715109787	0.20961138715109787
motion_body_ori	motion_relative_body_orientation_error_exp	0.4	1.0	1.0	1.0	0.001930454136227711	0.001930454136227711
motion_body_ori	motion_relative_body_orientation_error_exp	0.4	1.0	2.0	4.0	1.3887943864964071e-11	1.3887943864964071e-11
motion_body_lin_vel	motion_global_body_linear_velocity_error_exp	1.0	1.0	0.0	0.0	1.0	1.0
motion_body_lin_vel	motion_global_body_linear_velocity_error_exp	1.0	1.0	0.25	0.0625	0.9394130628134758	0.9394130628134758
motion_body_lin_vel	motion_global_body_linear_velocity_error_exp	1.0	1.0	0.5	0.25	0.7788007830714049	0.7788007830714049
motion_body_lin_vel	motion_global_body_linear_velocity_error_exp	1.0	1.0	1.0	1.0	0.3678794411714424	0.3678794411714424
motion_body_lin_vel	motion_global_body_linear_velocity_error_exp	1.0	1.0	2.0	4.0	0.01831563888873418	0.01831563888873418
motion_body_ang_vel	motion_global_body_angular_velocity_error_exp	3.14	1.0	0.0	0.0	1.0	1.0
motion_body_ang_vel	motion_global_body_angular_velocity_error_exp	3.14	1.0	0.25	0.0625	0.9936810495178823	0.9936810495178823
motion_body_ang_vel	motion_global_body_angular_velocity_error_exp	3.14	1.0	0.5	0.25	0.974962765236125	0.974962765236125
motion_body_ang_vel	motion_global_body_angular_velocity_error_exp	3.14	1.0	1.0	1.0	0.9035498529727415	0.9035498529727415
motion_body_ang_vel	motion_global_body_angular_velocity_error_exp	3.14	1.0	2.0	4.0	0.6665127755440327	0.6665127755440327
